Date,Time,Magnitude,Depth,population_impacted,dangerosite_adjusted
08/11/1965,22:31:51,7.6,0.046511627906976744,1.0978399688277354e-05,elevee
08/12/1965,08:01:46,6.9,0.046511627906976744,1.1070298719795452e-05,elevee
08/12/1965,12:57:15,6.8,0.07906976744186046,3.0145710000444268e-05,elevee
08/12/1965,18:04:56,5.9,0.05426356589147287,1.0836309647237834e-05,elevee
08/13/1965,04:40:57,5.8,0.046511627906976744,0.00016311583253523384,moderee
08/13/1965,11:24:53,6.1,0.03875968992248062,1.0838430394119021e-05,elevee
08/13/1965,12:40:10,7.4,0.03875968992248062,1.0964261375736108e-05,elevee
08/13/1965,12:40:32,7.2,0.05426356589147287,0.00016330175134515122,moderee
08/13/1965,17:56:30,6.2,0.05426356589147287,0.0001533667591224178,moderee
08/13/1965,21:57:38,6.0,0.046511627906976744,3.1400485238479833e-05,elevee
08/14/1965,11:07:47,6.0,0.031007751937984496,1.0978399688277354e-05,elevee
08/14/1965,13:18:06,5.7,0.05426356589147287,2.105194737391498e-06,elevee
08/16/1965,12:36:22,6.2,0.023255813953488372,0.0,faible
08/17/1965,10:35:10,6.1,0.10077519379844961,0.00018458839470725087,moderee
08/17/1965,16:17:45,5.8,0.046511627906976744,9.707365390819357e-06,elevee
08/18/1965,14:51:34,6.2,0.03875968992248062,1.0907708125571126e-05,elevee
08/20/1965,05:54:51,6.7,0.5116279069767442,0.0,faible
08/20/1965,09:42:50,6.7,0.19224806201550387,2.1541839903469144e-05,elevee
08/20/1965,21:21:52,6.1,0.11627906976744186,0.0,faible
08/21/1965,15:04:20,5.6,0.06976744186046512,2.730249534839974e-05,elevee
08/23/1965,14:08:58,6.0,0.023255813953488372,0.0005718035501775011,moderee
08/23/1965,19:46:04,7.4,0.03875968992248062,0.0002616662331883605,moderee
08/24/1965,01:01:00,5.8,0.03875968992248062,9.456622417900364e-05,elevee
08/27/1965,18:22:03,5.7,0.046511627906976744,0.0,faible
08/30/1965,03:32:08,5.8,0.046511627906976744,0.00015279981278951385,moderee
08/30/1965,18:09:44,5.7,0.08527131782945736,0.0,faible
09/01/1965,04:47:33,5.8,0.15503875968992248,0.0,faible
09/02/1965,04:26:39,5.5,0.04806201550387597,0.0,faible
09/04/1965,10:19:51,5.9,0.023255813953488372,0.0,faible
09/04/1965,14:32:51,7.0,0.04310077519379845,4.621814369733248e-06,elevee
