Date,Time,Latitude,Longitude,Depth,Magnitude,population_impacted
09/27/1965,05:09:13,51.752,175.5,35.0,5.6,0
09/28/1965,05:06:40,-28.278,-177.999,25.0,6.5,0
09/30/1965,23:47:42,59.28,-144.06,20.0,6.1,0
10/01/1965,08:52:06,49.937,178.166,19.7,6.8,0
10/01/1965,13:22:29,-19.921,174.48,545.5,6.2,0
10/01/1965,22:34:23,-60.468,-24.551,10.0,6.0,0
10/03/1965,14:45:31,49.426,156.417,50.0,5.9,0
10/03/1965,16:14:57,-42.969,-75.225,22.2,5.9,768
10/07/1965,03:36:02,12.347,114.485,20.0,5.9,0
10/10/1965,17:25:41,-59.225,-25.091,20.0,5.8,0
10/12/1965,13:41:01,56.19,-153.615,25.0,5.6,73
10/16/1965,08:22:55,3.113,128.558,192.4,5.7,1938
10/17/1965,01:53:35,-7.981,156.287,15.0,5.7,0
10/18/1965,21:50:07,-1.28,127.725,25.0,6.3,0
10/19/1965,20:48:49,52.366,174.254,35.0,6.1,0
10/23/1965,06:00:54,53.901,-165.403,45.0,5.6,6080
10/24/1965,14:32:11,4.203,125.787,145.1,5.9,0
10/24/1965,18:15:10,49.646,156.116,60.0,5.6,0
10/25/1965,22:34:24,44.12,145.389,170.0,6.7,144526
10/28/1965,08:58:27,-1.257,127.735,25.0,5.6,0
11/03/1965,01:39:04,-9.031,-71.139,593.8,6.7,17101
11/03/1965,18:21:08,-22.457,-113.788,15.0,6.1,0
11/05/1965,19:01:04,-3.144,143.789,15.0,5.9,104887
11/06/1965,09:21:47,-22.126,-113.928,15.0,6.2,0
11/12/1965,17:52:24,30.628,140.23,20.0,6.4,0
11/13/1965,04:33:52,43.745,87.843,35.0,6.5,9776754
11/13/1965,17:59:43,-29.414,-68.166,45.0,5.7,75370
11/14/1965,05:54:13,36.514,141.229,40.0,5.7,2097313
11/15/1965,11:18:50,-0.224,-18.645,10.0,6.1,0
11/16/1965,06:45:59,6.553,126.903,110.0,5.9,1082357
11/16/1965,15:24:44,30.887,-41.479,10.0,6.0,0
11/16/1965,17:05:41,25.449,125.319,94.7,5.7,52931
11/18/1965,17:17:20,-7.058,129.347,160.0,5.6,0
11/18/1965,20:00:21,-18.855,-177.721,430.0,6.5,0
11/18/1965,21:58:19,53.909,160.579,45.0,6.0,0
11/20/1965,15:05:42,-7.225,129.12,147.9,5.8,0
11/21/1965,10:31:55,-6.193,130.402,133.3,6.5,0
11/22/1965,14:00:30,51.936,-176.092,55.0,5.7,171
11/22/1965,20:25:31,51.361,-179.716,25.0,5.9,0
11/23/1965,01:17:30,2.983,124.831,20.0,6.2,0
11/23/1965,02:17:50,51.42,-179.7,30.0,5.6,0
11/23/1965,16:31:06,-8.666,111.103,55.0,5.8,51812
11/27/1965,08:42:24,33.011,141.079,60.0,5.6,0
11/27/1965,12:01:56,-9.611,159.797,70.0,5.8,55722
11/28/1965,03:56:46,-45.847,-72.958,25.0,6.2,179899
11/28/1965,05:26:06,36.096,27.318,77.4,5.9,171032
11/28/1965,21:31:45,-4.841,103.103,60.0,5.8,133862
12/04/1965,02:11:50,51.101,-170.604,15.0,5.8,0
12/05/1965,18:14:52,52.612,173.14,35.0,5.6,0
12/06/1965,11:34:55,18.919,-107.176,25.0,6.7,0
12/07/1965,22:19:17,-6.458,146.298,122.5,6.3,266538
12/08/1965,18:05:27,-37.199,177.558,175.0,6.0,27983
12/09/1965,06:07:47,17.135,-100.126,35.0,6.4,1032296
12/09/1965,13:12:56,-18.108,-178.062,645.0,6.2,0
12/10/1965,21:53:19,-11.292,166.143,52.8,5.9,2978
12/13/1965,10:52:11,44.688,149.939,29.2,6.0,0
12/13/1965,14:46:12,44.757,150.195,23.1,5.6,0
12/15/1965,19:19:49,-56.722,-141.439,15.0,5.8,0
12/15/1965,23:05:25,7.65,-81.913,25.0,6.3,106113
12/22/1965,00:28:51,52.293,160.356,26.9,5.8,0
12/22/1965,19:41:24,58.335,-153.303,52.4,6.1,6572
12/23/1965,20:47:38,60.481,-140.766,20.1,5.6,0
12/25/1965,02:57:59,-18.096,-178.979,621.8,6.2,0
12/26/1965,03:53:12,-5.201,151.583,80.1,5.9,62309
12/28/1965,20:32:27,27.863,141.992,45.0,5.8,3022
12/30/1965,02:06:35,54.21,-164.476,35.0,5.6,1646
12/30/1965,06:16:04,-16.673,-71.111,100.0,5.8,1485299
01/05/1966,17:21:29,13.248,95.42,25.0,5.8,0
01/11/1966,03:10:54,0.586,120.141,35.0,5.9,0
01/11/1966,14:16:32,33.675,137.244,15.0,6.0,80105
01/13/1966,10:41:14,52.829,172.048,22.5,5.7,0
01/16/1966,09:11:51,52.764,172.058,22.5,5.8,0
01/20/1966,01:44:47,37.883,138.151,10.0,5.8,2782761
01/22/1966,14:27:09,55.956,-153.942,20.0,6.2,0
01/24/1966,07:23:10,30.013,69.606,10.0,5.8,1587618
01/26/1966,01:00:14,-59.548,-26.465,60.0,5.6,0
01/28/1966,05:42:17,-17.114,168.559,10.0,6.0,260091
01/28/1966,22:38:14,51.514,157.119,115.6,5.6,2183
01/31/1966,14:01:24,-24.837,-64.413,25.0,5.7,324077
02/03/1966,05:48:11,0.211,123.555,158.6,5.7,1471661
02/03/1966,11:58:36,16.709,119.973,61.1,5.7,1414595974
02/03/1966,17:57:42,24.13,121.966,25.0,5.8,808092
02/04/1966,10:39:12,-15.899,167.914,180.0,6.4,231656
02/05/1966,02:01:45,39.093,21.777,10.0,6.2,12622538
02/05/1966,15:12:31,26.246,103.187,10.0,6.4,797600
02/05/1966,16:16:05,50.023,155.506,119.4,5.9,2507
02/07/1966,04:26:13,29.956,69.761,10.0,6.5,887618
02/07/1966,23:06:36,30.276,70.041,10.0,6.5,1171111
02/09/1966,04:40:32,-56.79,-25.965,40.0,6.3,0
02/09/1966,07:18:50,-9.851,116.376,45.0,5.8,0
02/10/1966,05:29:15,31.193,142.001,35.0,5.8,0
02/10/1966,14:21:13,20.711,146.163,45.7,6.5,0
02/13/1966,06:36:01,-6.561,132.642,35.0,6.0,400
02/13/1966,10:44:40,26.12,103.222,10.0,5.9,6806800
02/16/1966,03:18:29,-17.67,168.021,35.0,6.6,44139
02/17/1966,11:48:00,-32.265,78.866,15.0,6.6,0
02/17/1966,12:42:59,-32.233,78.999,15.0,5.7,0
02/18/1966,06:59:04,6.709,123.842,35.0,5.9,5451359
02/21/1966,00:22:29,-55.495,-27.079,15.0,6.0,0
02/21/1966,13:18:50,26.14,125.744,120.0,5.6,0
02/22/1966,05:02:39,-5.388,151.592,35.0,6.9,62309
02/25/1966,22:50:48,-15.404,-172.843,20.0,6.0,0
02/26/1966,00:33:50,52.55,173.462,35.0,5.6,0
02/28/1966,02:02:13,43.691,139.738,217.6,5.6,8078
02/28/1966,13:35:42,29.244,130.344,45.0,6.0,756
