Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,population_impacted,geometry
04/27/1965,20:09:17,1.333,-85.075,Earthquake,15.0,,,5.8,MW,,,,,,,0,POINT (-85.075 1.333)
04/29/1965,15:28:45,47.288,-122.406,Earthquake,64.7,,,6.7,MW,,,,,,,3816644,POINT (-122.406 47.288)
04/29/1965,15:48:55,-5.548,110.332,Earthquake,480.0,,,6.0,MW,,,,,,,0,POINT (110.332 -5.548)
05/01/1965,21:27:54,60.35,-146.176,Earthquake,15.0,,,5.6,MW,,,,,,,6335,POINT (-146.176 60.35)
05/02/1965,07:13:45,28.927,128.769,Earthquake,22.5,,,5.8,MW,,,,,,,50448,POINT (128.769 28.927)
05/03/1965,01:09:34,-32.537,-70.569,Earthquake,90.0,,,5.8,MW,,,,,,,2824874,POINT (-70.569 -32.537)
05/03/1965,10:01:38,13.683,-89.07,Earthquake,15.0,,,5.9,MW,,,,,,,7024970,POINT (-89.07 13.683)
05/03/1965,16:09:09,-24.281,-67.927,Earthquake,110.0,,,5.7,MW,,,,,,,2063,POINT (-67.927 -24.281)
05/04/1965,08:34:43,41.801,79.414,Earthquake,10.0,,,6.2,MW,,,,,,,3135573,POINT (79.414 41.801)
05/12/1965,08:05:56,-3.523,137.924,Earthquake,50.0,,,5.7,MW,,,,,,,22278,POINT (137.924 -3.523)
05/12/1965,10:33:47,-6.174,130.358,Earthquake,153.1,,,6.1,MW,,,,,,,0,POINT (130.358 -6.174)
05/15/1965,23:58:36,-4.131,134.946,Earthquake,25.0,,,5.8,MW,,,,,,,0,POINT (134.946 -4.131)
05/16/1965,11:35:47,5.268,125.467,Earthquake,35.0,,,5.9,MW,,,,,,,2101955,POINT (125.467 5.268)
05/17/1965,17:19:33,22.336,121.248,Earthquake,68.4,,,6.7,MW,,,,,,,2154829,POINT (121.248 22.336)
05/19/1965,03:00:58,-8.938,159.083,Earthquake,35.0,,,5.6,MW,,,,,,,1122,POINT (159.083 -8.938)
05/19/1965,06:03:56,-6.575,105.311,Earthquake,35.0,,,5.6,MW,,,,,,,0,POINT (105.311 -6.575)
05/19/1965,13:59:55,-4.819,152.436,Earthquake,50.0,,,5.5,MW,,,,,,,106555,POINT (152.436 -4.819)
05/20/1965,00:40:27,-14.921,167.34,Earthquake,120.0,,,7.7,MW,,,,,,,14382,POINT (167.34 -14.921)
05/22/1965,03:05:46,1.309,126.239,Earthquake,35.0,,,5.7,MW,,,,,,,0,POINT (126.239 1.309)
05/22/1965,10:31:39,-21.126,-178.537,Earthquake,553.8,,,6.1,MW,,,,,,,0,POINT (-178.537 -21.126)
05/23/1965,23:46:15,52.149,175.119,Earthquake,28.5,,,6.0,MW,,,,,,,0,POINT (175.119 52.149)
05/24/1965,23:21:12,13.174,124.604,Earthquake,25.0,,,5.9,MW,,,,,,,4428970,POINT (124.604 13.174)
05/25/1965,13:07:51,51.227,178.882,Earthquake,30.1,,,5.8,MW,,,,,,,0,POINT (178.882 51.227)
05/26/1965,19:44:13,-55.957,-27.875,Earthquake,125.0,,,6.0,MW,,,,,,,0,POINT (-27.875 -55.957)
05/31/1965,11:38:42,-7.566,128.578,Earthquake,150.0,,,5.9,MW,,,,,,,0,POINT (128.578 -7.566)
06/02/1965,05:13:00,-23.54,-179.917,Earthquake,540.0,,,5.7,MW,,,,,,,0,POINT (-179.917 -23.54)
06/02/1965,23:40:23,15.674,-46.712,Earthquake,12.5,,,5.9,MW,,,,,,,0,POINT (-46.712 15.674)
06/05/1965,03:49:03,-1.649,126.552,Earthquake,20.0,,,5.6,MW,,,,,,,0,POINT (126.552 -1.649)
06/11/1965,02:37:35,51.884,174.015,Earthquake,20.0,,,5.6,MW,,,,,,,0,POINT (174.015 51.884)
06/11/1965,03:33:47,44.608,149.022,Earthquake,40.7,,,7.0,MW,,,,,,,0,POINT (149.022 44.608)
06/11/1965,03:34:04,44.578,148.699,Earthquake,58.0,,,7.2,MW,,,,,,,6378,POINT (148.699 44.578)
06/11/1965,07:11:04,44.133,149.255,Earthquake,31.6,,,5.5,MW,,,,,,,0,POINT (149.255 44.133)
06/11/1965,07:27:44,44.112,149.539,Earthquake,35.0,,,5.6,MW,,,,,,,0,POINT (149.539 44.112)
06/11/1965,08:41:01,44.299,149.032,Earthquake,32.6,,,5.7,MW,,,,,,,0,POINT (149.032 44.299)
06/12/1965,05:28:40,44.167,149.87,Earthquake,35.0,,,5.6,MW,,,,,,,0,POINT (149.87 44.167)
06/12/1965,05:40:58,43.775,149.448,Earthquake,38.0,,,5.7,MW,,,,,,,0,POINT (149.448 43.775)
06/12/1965,06:03:33,43.804,149.351,Earthquake,35.0,,,5.7,MW,,,,,,,0,POINT (149.351 43.804)
06/12/1965,18:45:44,43.885,149.339,Earthquake,35.0,,,5.5,MW,,,,,,,0,POINT (149.339 43.885)
06/12/1965,18:50:12,-20.38,-68.944,Earthquake,102.2,,,5.9,MW,,,,,,,314322,POINT (-68.944 -20.38)
06/13/1965,07:06:15,41.705,143.727,Earthquake,38.1,,,6.1,MW,,,,,,,50687,POINT (143.727 41.705)
06/13/1965,20:01:51,37.718,29.378,Earthquake,25.0,,,5.9,MW,,,,,,,2718470,POINT (29.378 37.718)
06/14/1965,07:30:42,-39.902,45.55,Earthquake,10.0,,,5.6,MW,,,,,,,0,POINT (45.55 -39.902)
06/15/1965,09:20:34,-38.08,177.442,Earthquake,95.0,,,5.9,MW,,,,,,,128196,POINT (177.442 -38.08)
06/15/1965,23:10:29,-21.025,173.574,Earthquake,25.0,,,6.2,MW,,,,,,,0,POINT (173.574 -21.025)
06/17/1965,20:14:51,32.052,87.784,Earthquake,10.0,,,5.9,MW,,,,,,,3900,POINT (87.784 32.052)
06/20/1965,01:57:26,44.505,149.218,Earthquake,45.0,,,5.6,MW,,,,,,,0,POINT (149.218 44.505)
06/20/1965,18:04:34,42.973,-126.652,Earthquake,10.0,,,5.5,MW,,,,,,,0,POINT (-126.652 42.973)
06/21/1965,00:21:17,28.134,55.891,Earthquake,25.0,,,5.9,MW,,,,,,,211431,POINT (55.891 28.134)
06/22/1965,23:48:07,7.175,123.613,Earthquake,40.0,,,6.3,MW,,,,,,,6490638,POINT (123.613 7.175)
06/23/1965,11:09:17,56.543,-152.948,Earthquake,20.0,,,6.5,MW,,,,,,,289,POINT (-152.948 56.543)
06/24/1965,07:45:13,7.034,126.25,Earthquake,30.0,,,5.8,MW,,,,,,,10119897,POINT (126.25 7.034)
06/27/1965,09:45:45,-54.437,4.965,Earthquake,10.0,,,5.7,MW,,,,,,,0,POINT (4.965 -54.437)
06/27/1965,11:08:59,60.281,-141.418,Earthquake,15.0,,,6.5,MW,,,,,,,0,POINT (-141.418 60.281)
06/27/1965,11:36:14,23.764,121.56,Earthquake,40.0,,,5.9,MW,,,,,,,25371346,POINT (121.56 23.764)
06/28/1965,03:33:35,-5.01,153.06,Earthquake,25.0,,,6.0,MW,,,,,,,0,POINT (153.06 -5.01)
06/30/1965,02:53:16,-1.734,126.53,Earthquake,30.0,,,5.8,MW,,,,,,,0,POINT (126.53 -1.734)
06/30/1965,08:33:33,51.813,176.53,Earthquake,44.6,,,5.7,MW,,,,,,,0,POINT (176.53 51.813)
07/01/1965,23:12:42,-63.159,-163.707,Earthquake,10.0,,,6.1,MW,,,,,,,0,POINT (-163.707 -63.159)
07/02/1965,20:58:40,52.99,-167.739,Earthquake,45.0,,,7.8,MW,,,,,,,0,POINT (-167.739 52.99)
07/03/1965,11:26:13,22.338,101.496,Earthquake,35.0,,,5.9,MW,,,,,,,4811708,POINT (101.496 22.338)
07/06/1965,03:04:21,-22.567,172.939,Earthquake,35.0,,,5.8,MW,,,,,,,0,POINT (172.939 -22.567)
07/06/1965,03:18:45,38.384,22.545,Earthquake,20.0,,,6.3,MW,,,,,,,12540010,POINT (22.545 38.384)
07/06/1965,04:08:49,46.591,152.467,Earthquake,45.0,,,5.6,MW,,,,,,,0,POINT (152.467 46.591)
07/06/1965,18:36:46,-4.408,155.062,Earthquake,490.0,,,6.3,MW,,,,,,,0,POINT (155.062 -4.408)
07/07/1965,23:00:00,-6.819,105.505,Earthquake,35.0,,,5.7,MW,,,,,,,0,POINT (105.505 -6.819)
07/12/1965,13:57:15,-28.428,-68.25,Earthquake,112.4,,,5.7,MW,,,,,,,35615,POINT (-68.25 -28.428)
07/15/1965,18:33:30,7.74,123.811,Earthquake,570.0,,,6.0,MW,,,,,,,10630797,POINT (123.811 7.74)
07/17/1965,07:20:34,-9.72,159.888,Earthquake,25.0,,,5.9,MW,,,,,,,55722,POINT (159.888 -9.72)
07/20/1965,13:18:28,7.56,124.247,Earthquake,24.6,,,5.7,MW,,,,,,,14022035,POINT (124.247 7.56)
07/21/1965,17:52:33,53.318,170.365,Earthquake,28.8,,,5.5,MW,,,,,,,0,POINT (170.365 53.318)
07/25/1965,03:40:43,1.813,99.276,Earthquake,105.0,,,5.5,MW,,,,,,,390680,POINT (99.276 1.813)
07/25/1965,13:33:04,41.278,146.682,Earthquake,15.0,,,5.6,MW,,,,,,,0,POINT (146.682 41.278)
07/25/1965,21:46:45,51.472,175.894,Earthquake,20.1,,,5.7,MW,,,,,,,0,POINT (175.894 51.472)
07/28/1965,22:29:09,-2.335,101.767,Earthquake,140.0,,,5.6,MW,,,,,,,84624,POINT (101.767 -2.335)
07/29/1965,08:29:24,51.05,-171.289,Earthquake,21.4,,,6.8,MW,,,,,,,0,POINT (-171.289 51.05)
